Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Gamma,RiskProfile
2022-01-03,1039468.5650714512,0.040468565071451135,0.001,0.039468565071451134,1.0,10,1.0,moderate
2022-01-10,1045112.4187985482,0.00660367498610559,0.0011741180791018217,0.005429556907003768,1.1741180791018215,10,1.0,moderate
2022-01-17,986434.5665306713,-0.05475424077888402,0.0013907740658657113,-0.056145014844749735,1.3907740658657113,10,1.0,moderate
2022-01-24,1061982.877393264,0.07743116339252198,0.0008439132839829309,0.07658725010853905,0.843913283982931,10,1.0,moderate
2022-02-01,1049524.3943883672,-0.010236189668656803,0.0014951510809016408,-0.011731340749558445,1.4951510809016406,10,1.0,moderate
2022-02-08,1053582.7233430862,0.005023994578754021,0.0011571678747553747,0.003866826703998646,1.1571678747553746,10,1.0,moderate
2022-02-15,1028370.7688217418,-0.02234602775439165,0.0015837064399440814,-0.023929734194335733,1.5837064399440814,10,1.0,moderate
2022-02-22,1004798.3169682394,-0.02183089818302597,0.0010912351254796914,-0.022922133308505663,1.0912351254796913,10,1.0,moderate
2022-03-02,978256.105341159,-0.025262226852994285,0.001153235015180202,-0.02641546186817449,1.153235015180202,10,1.0,moderate
2022-03-09,1025295.9295675798,0.04936099575352748,0.0012756079194122538,0.04808538783411523,1.2756079194122538,10,1.0,moderate
2022-03-16,1042847.4529885714,0.01839947547944587,0.0012809803066482141,0.017118495172797656,1.2809803066482142,10,1.0,moderate
2022-03-24,1048618.0134937007,0.007089736958277637,0.0015562713602247505,0.005533465598052886,1.5562713602247507,10,1.0,moderate
2022-03-31,1060356.2635039445,0.012816856686157063,0.0016228376447187203,0.011194019041438344,1.6228376447187203,10,1.0,moderate
2022-04-07,1041170.6559020167,-0.01656491085438272,0.001528637759673687,-0.018093548614056407,1.528637759673687,10,1.0,moderate
2022-04-18,1040841.3595068045,0.0012411657685915678,0.0015574409088344543,-0.0003162751402428865,1.5574409088344543,10,1.0,moderate
2022-04-25,1055243.8839860752,0.014950927866628216,0.0011135410759119902,0.013837386790716225,1.1135410759119901,10,1.0,moderate
2022-05-02,1022505.1018714589,-0.02931326652574029,0.0017115824323497544,-0.031024848958090042,1.7115824323497546,10,1.0,moderate
2022-05-10,1024001.5019307649,0.0026794494472734964,0.0012159848087429225,0.001463464638530574,1.2159848087429226,10,1.0,moderate
2022-05-17,1014927.1210064808,-0.007336039129265504,0.001525647994409946,-0.00886168712367545,1.5256479944099461,10,1.0,moderate
2022-05-24,1039572.2477715756,0.025387834992879332,0.0011051783813831918,0.02428265661149614,1.1051783813831917,10,1.0,moderate
2022-05-31,1018501.9730714982,-0.018686306522083362,0.0015819093188488525,-0.020268215840932215,1.5819093188488524,10,1.0,moderate
2022-06-07,978108.5869661344,-0.038243245900083433,0.0014163592586080786,-0.03965960515869151,1.4163592586080787,10,1.0,moderate
2022-06-14,969443.3110017763,-0.008277721647400038,0.0005814950897066728,-0.00885921673710671,0.5814950897066729,10,1.0,moderate
2022-06-21,963074.2944535209,-0.005550832636930014,0.0010189342344034146,-0.0065697668713334285,1.0189342344034147,10,1.0,moderate
2022-06-28,968698.3339320641,0.0068894682586373435,0.00104979471430861,0.005839673544328733,1.04979471430861,10,1.0,moderate
2022-07-05,989144.6611111597,0.022415724307091267,0.0013087124924828564,0.02110701181460841,1.3087124924828564,10,1.0,moderate
2022-07-12,1007189.4619060856,0.01935683515624609,0.0011140022275870091,0.01824283292865908,1.1140022275870092,10,1.0,moderate
2022-07-19,1007507.7565272423,0.001763716865060383,0.00144769427626729,0.00031602258879309284,1.44769427626729,10,1.0,moderate
2022-07-26,1065357.8456884448,0.05875631115934388,0.001337309879785811,0.05741900127955807,1.337309879785811,10,1.0,moderate
2022-08-02,1052221.5800006913,-0.01115319131166903,0.001177187387766566,-0.012330378699435596,1.177187387766566,10,1.0,moderate
2022-08-10,1076238.526126872,0.024272643521937365,0.001447654391639427,0.022824989130297936,1.447654391639427,10,1.0,moderate
2022-08-18,1057924.7357628797,-0.016021392775134147,0.0009950863039966246,-0.017016479079130772,0.9950863039966246,10,1.0,moderate
2022-08-25,1069999.4059707138,0.013018844342200575,0.0016053006375748367,0.011413543704625738,1.6053006375748367,10,1.0,moderate
2022-09-02,1087427.645222881,0.017618229930413065,0.001330146820351768,0.0162880831100613,1.3301468203517681,10,1.0,moderate
2022-09-09,1074765.8614799064,-0.010359566534048015,0.0012842276977784763,-0.011643794231826491,1.2842276977784761,10,1.0,moderate
2022-09-16,1065843.9912542421,-0.006926013514883089,0.0013752086819023707,-0.00830122219678546,1.3752086819023706,10,1.0,moderate
2022-09-23,1062393.2690772587,-0.0022823977830080944,0.0009551512441462867,-0.0032375490271543813,0.9551512441462867,10,1.0,moderate
2022-09-30,1062253.9844704561,0.0012597221903791755,0.001390826754815561,-0.00013110456443638538,1.3908267548155608,10,1.0,moderate
2022-10-10,1071626.8400268028,0.01016595440632373,0.0013424002531998123,0.008823554153123917,1.3424002531998123,10,1.0,moderate
2022-10-17,1094080.0597152133,0.022407665768656493,0.0014552046602273722,0.020952461108429122,1.4552046602273723,10,1.0,moderate
2022-10-24,1110338.320547994,0.016098584837287877,0.0012383735680936646,0.014860211269194212,1.2383735680936645,10,1.0,moderate
2022-11-01,1104486.6607105487,-0.0036428630015711283,0.001627296308572543,-0.005270159310143671,1.627296308572543,10,1.0,moderate
2022-11-09,1117625.9486909842,0.013266103114633276,0.0013698182179170723,0.011896284896716205,1.3698182179170721,10,1.0,moderate
2022-11-16,1113304.4119005722,-0.0028025295686952,0.0010641816466927842,-0.0038667112153879845,1.064181646692784,10,1.0,moderate
2022-11-23,1136937.8905343395,0.022295715055360654,0.0010674881830523785,0.021228226872308277,1.0674881830523786,10,1.0,moderate
2022-11-30,1133788.1979162598,-0.001315831647679233,0.0014544978877358212,-0.0027703295354150545,1.4544978877358212,10,1.0,moderate
2022-12-07,1143390.8232775833,0.010036058255723734,0.0015665527705087737,0.00846950548521496,1.5665527705087736,10,1.0,moderate
2022-12-14,1120786.5591443027,-0.018494203862384984,0.0012752954838529354,-0.01976949934623792,1.2752954838529353,10,1.0,moderate
2022-12-21,1128313.0382118246,0.008050148889658493,0.0013347943860604,0.006715354503598093,1.3347943860604001,10,1.0,moderate
2022-12-28,1124039.8486132603,-0.0030765138303620043,0.000710723801258948,-0.0037872376316209523,0.7107238012589481,10,1.0,moderate
