Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,Gamma,RiskProfile
2025-01-01,1014945.5126197067,0.01594551261970656,0.001,0.014945512619706558,1.0,0.01,conservative
2025-01-02,988372.2911344385,-0.025781919280257082,0.0004,-0.026181919280257083,0.4,0.01,conservative
2025-01-03,955328.7119219558,-0.03343232050197986,0.0,-0.03343232050197986,0.0,0.01,conservative
2025-01-06,920768.2964534182,-0.03577646474689122,0.0004000000000000005,-0.03617646474689122,0.4000000000000005,0.01,conservative
2025-01-07,894126.0584707276,-0.028534790765672224,0.00039999997952414843,-0.028934790745196372,0.3999999795241484,0.01,conservative
2025-01-08,883239.493411978,-0.012175648568045983,4.4208299864806703e-10,-0.012175649010128981,4.4208299864806705e-07,0.01,conservative
2025-01-09,877943.8270670456,-0.005995730922505493,2.60864590270855e-12,-0.005995730925114139,2.6086459027085496e-09,0.01,conservative
2025-01-10,874144.6328685408,-0.004327377304448876,7.601675093473467e-12,-0.0043273773120505515,7.601675093473467e-09,0.01,conservative
2025-01-13,896425.7029952354,0.025488997280011194,4.899422664489056e-11,0.02548899723101697,4.899422664489056e-08,0.01,conservative
2025-01-14,895062.7838159804,-0.0011203748885391107,0.00040001790553300667,-0.0015203927940721173,0.4000179055330067,0.01,conservative
2025-01-15,884798.8754318175,-0.011467249605108254,3.3407682677744086e-11,-0.011467249638515937,3.340768267774409e-08,0.01,conservative
2025-01-16,870833.7388901074,-0.015783402227859344,1.3715306480982827e-14,-0.01578340222787306,1.3715306480982827e-11,0.01,conservative
2025-01-17,863791.2753640079,-0.008087035689577249,8.228559215620895e-15,-0.008087035689585477,8.228559215620894e-12,0.01,conservative
2025-01-20,844018.7339056282,-0.022890415801020025,4.892171889136507e-15,-0.022890415801024917,4.8921718891365066e-12,0.01,conservative
2025-01-21,832318.8024477462,-0.013862170337544888,4.778691123000232e-13,-0.013862170338022757,4.778691123000231e-10,0.01,conservative
2025-01-22,829981.1613432765,-0.0028085885121562626,9.30692656145345e-11,-0.002808588605225528,9.30692656145345e-08,0.01,conservative
2025-01-23,836228.3136987309,0.007526861584635336,1.1612688475744867e-09,0.007526860423366488,1.1612688475744867e-06,0.01,conservative
2025-01-24,858987.7627021852,0.027216791883822644,3.5610418749308735e-09,0.02721678832278077,3.561041874930873e-06,0.01,conservative
2025-01-27,875183.6787857313,0.018854653652805586,7.848794299963766e-10,0.018854652867926158,7.848794299963766e-07,0.01,conservative
2025-01-28,877381.6399078835,0.0029114202847304593,0.0003999919121152804,0.0025114283726151787,0.3999919121152804,0.01,conservative
2025-01-29,885376.7677619801,0.00911249587252172,9.936599881402574e-09,0.009112485935921838,9.936599881402574e-06,0.01,conservative
2025-01-30,895947.987874941,0.012339805070896936,0.00040000667333741366,0.011939798397559523,0.4000066733374137,0.01,conservative
2025-01-31,880718.9958646359,-0.016997615214005557,1.4354230902784295e-08,-0.016997629568236458,1.4354230902784294e-05,0.01,conservative
2025-02-01,869972.7344718942,-0.011701691396641345,0.0004999999977762242,-0.012201691394417569,0.49999999777622417,0.01,conservative
2025-02-03,865118.569367681,-0.005579674742356433,2.426990415362448e-10,-0.0055796749850554744,2.4269904153624484e-07,0.01,conservative
2025-02-04,827062.3814802908,-0.04386317164114173,0.00012639144869664495,-0.043989563089838375,0.12639144869664495,0.01,conservative
2025-02-06,812679.8661053412,-0.017089903291944042,0.00029997647650524106,-0.017389879768449284,0.29997647650524106,0.01,conservative
2025-02-07,791532.5104104899,-0.02592444456513221,9.73096050519862e-05,-0.026021754170184194,0.0973096050519862,0.01,conservative
2025-02-10,776399.1300322099,-0.019119088804156803,2.572808854156561e-11,-0.019119088829884893,2.5728088541565608e-08,0.01,conservative
2025-02-11,767068.0166969817,-0.011518448985462615,0.0004999999981690463,-0.012018448983631662,0.4999999981690463,0.01,conservative
2025-02-12,755346.5547747099,-0.015280862902489645,9.415601442695808e-10,-0.015280863844049789,9.415601442695808e-07,0.01,conservative
2025-02-13,746984.0848505737,-0.010644674653106145,0.00042636270223112607,-0.01107103735533727,0.4263627022311261,0.01,conservative
2025-02-14,739354.5314131428,-0.009839482498808838,0.0003743273964275325,-0.01021380989523637,0.3743273964275325,0.01,conservative
2025-02-17,723293.278396671,-0.0217233442511352,9.396471334063493e-12,-0.02172334426053167,9.396471334063493e-09,0.01,conservative
2025-02-18,706831.1108272455,-0.022760014599824685,2.7556765154150123e-09,-0.022760017355501202,2.7556765154150124e-06,0.01,conservative
2025-02-19,694562.8236578514,-0.01685674474644383,0.0004999999998871294,-0.01735674474633096,0.4999999998871293,0.01,conservative
2025-02-20,669397.8447041231,-0.036231343133806826,5.033640403129264e-08,-0.03623139347021086,5.0336404031292635e-05,0.01,conservative
2025-02-21,650406.8924778656,-0.027870202229515084,0.0005000000000000006,-0.028370202229515085,0.5000000000000006,0.01,conservative
2025-02-24,638225.2032274329,-0.018310507382589325,0.0004188286550777537,-0.018729336037667077,0.4188286550777537,0.01,conservative
2025-02-25,641277.0116401919,0.004873151692652566,9.144078978282763e-05,0.004781710902869739,0.09144078978282763,0.01,conservative
2025-02-27,651945.2292647285,0.016635895955376068,3.069513751309361e-11,0.01663589592468093,3.069513751309361e-08,0.01,conservative
2025-02-28,674413.2109392966,0.03468184100691052,0.0002188513783065455,0.034462989628603974,0.2188513783065455,0.01,conservative
2025-03-03,693315.2146788912,0.028027334036308416,8.924800714189382e-10,0.028027333143828343,8.924800714189381e-07,0.01,conservative
2025-03-04,710278.2090715317,0.024466504831679448,8.15960397729236e-09,0.02446649667207547,8.15960397729236e-06,0.01,conservative
2025-03-05,715172.5325100754,0.00729070499094675,0.0003999917802154764,0.006890713210731274,0.39999178021547643,0.01,conservative
2025-03-06,712559.4710166341,-0.003653749655240679,1.389104810515009e-10,-0.00365374979415116,1.3891048105150092e-07,0.01,conservative
2025-03-07,712191.7107548292,-0.0005160800150502132,3.165950265463581e-08,-0.0005161116745528678,3.165950265463581e-05,0.01,conservative
2025-03-10,714353.1364030503,0.003034893037517028,2.2642966043723984e-11,0.003034893014874062,2.2642966043723985e-08,0.01,conservative
2025-03-11,727217.0486016797,0.01800777819456334,8.879463033610751e-10,0.018007777306617036,8.87946303361075e-07,0.01,conservative
2025-03-12,752016.8074914295,0.03428346593008924,0.00018118664849680976,0.03410227928159243,0.18118664849680977,0.01,conservative
2025-03-13,785845.836054452,0.044984434486216696,2.9581931276961858e-08,0.044984404904285416,2.9581931276961858e-05,0.01,conservative
2025-03-17,836613.0008948322,0.06460202555971861,8.646277017661795e-08,0.06460193909694843,8.646277017661794e-05,0.01,conservative
2025-03-18,887958.2921271242,0.06137281688037666,6.30084517950929e-09,0.06137281057953148,6.300845179509291e-06,0.01,conservative
2025-03-20,910731.9722972987,0.025647242140368398,1.3047434727340558e-09,0.025647240835624925,1.3047434727340558e-06,0.01,conservative
2025-03-21,916426.234326254,0.006252401668256136,8.122104054968314e-11,0.006252401587035095,8.122104054968314e-08,0.01,conservative
